IDconv,ID,adj.P.Val,P.Value,t,B,logFC,ensembl_gene_id,hgnc_symbol
140,140_at,0.355,0.0954,-1.7368004,-4.936937,-0.5338959,ENSG00000282608,ADORA3
141,141_at,0.259,0.0545,-2.0232146,-4.465051,-0.7082978,ENSG00000144843,ADPRH
142,142_at,0.00759,1.63e-4,-4.4750199,0.891458,-0.8737877,ENSG00000143799,PARP1
143,143_at,0.732,0.424,0.8133782,-6.04131,0.1558194,ENSG00000102699,PARP4
146,146_at,0.833,0.591,-0.5454611,-6.221841,-0.1227878,ENSG00000171873,ADRA1D
147,147_at,0.863,0.646,0.4653015,-6.262404,0.1202489,ENSG00000170214,ADRA1B
148,148_at,0.693,0.372,-0.9093164,-5.960271,-0.1609506,ENSG00000120907,ADRA1A
150,150_at,0.994,0.983,0.0213396,-6.371263,0.005456,ENSG00000150594,ADRA2A
151,151_at,0.631,0.301,-1.0578919,-5.818328,-0.3676149,ENSG00000274286,ADRA2B
152,152_at,0.944,0.836,0.2088118,-6.349442,0.0601571,ENSG00000184160,ADRA2C
153,153_at,0.965,0.897,0.1304443,-6.362883,0.0254653,ENSG00000043591,ADRB1
154,154_at,0.472,0.164,-1.4369248,-5.370657,-0.3617444,ENSG00000169252,ADRB2
155,155_at,0.786,0.51,-0.6682401,-6.147606,-0.1606953,ENSG00000188778,ADRB3
156,156_at,0.00169,1.36e-5,-5.4650227,3.251633,-1.5744198,ENSG00000173020,GRK2
157,157_at,0.819,0.566,0.5813896,-6.201625,0.1674734,ENSG00000100077,GRK3
158,158_at,0.5,0.185,-1.365447,-5.464051,-0.360217,ENSG00000239900,ADSL
159,159_at,0.87,0.664,-0.4403518,-6.273741,-0.0906802,ENSG00000035687,ADSS2
160,160_at,0.751,0.452,-0.7643888,-6.079405,-0.1969019,ENSG00000196961,AP2A1
161,161_at,0.0309,0.00172,-3.534905,-1.329524,-0.7012262,ENSG00000280759,AP2A2
161,161_at,0.0309,0.00172,-3.534905,-1.329524,-0.7012262,ENSG00000281385,AP2A2
161,161_at,0.0309,0.00172,-3.534905,-1.329524,-0.7012262,ENSG00000183020,AP2A2
162,162_at,0.0247,0.00119,-3.6823972,-0.987591,-0.7319169,ENSG00000100280,AP1B1
163,163_at,0.439,0.142,-1.5186366,-5.259048,-0.2049412,ENSG00000006125,AP2B1
164,164_at,0.955,0.872,0.1624623,-6.35814,0.0274688,ENSG00000166747,AP1G1
165,165_at,0.0312,0.00175,-3.5284151,-1.344484,-1.2333701,ENSG00000106624,AEBP1
166,166_at,0.166,0.025,-2.394249,-3.78206,-0.5710378,ENSG00000104964,TLE5
167,167_at,0.98,0.938,-0.0785428,-6.368371,-0.0105249,ENSG00000124812,CRISP1
172,172_at,0.403,0.121,1.6092603,-5.129408,0.2993651,ENSG00000223959,AFG3L1P
173,173_at,0.00165,1.3e-5,5.4825927,3.29305,3.4429484,ENSG00000079557,AFM
174,174_at,0.413,0.126,1.5860153,-5.163237,0.4115001,ENSG00000081051,AFP
175,175_at,0.926,0.789,0.2700658,-6.33463,0.0785533,ENSG00000038002,AGA
176,176_at,0.842,0.608,-0.5194366,-6.235699,-0.0992181,ENSG00000157766,ACAN
177,177_at,0.788,0.513,0.6638478,-6.150511,0.0973401,ENSG00000230514,AGER
177,177_at,0.788,0.513,0.6638478,-6.150511,0.0973401,ENSG00000206320,AGER
177,177_at,0.788,0.513,0.6638478,-6.150511,0.0973401,ENSG00000204305,AGER
177,177_at,0.788,0.513,0.6638478,-6.150511,0.0973401,ENSG00000234729,AGER
177,177_at,0.788,0.513,0.6638478,-6.150511,0.0973401,ENSG00000237405,AGER
177,177_at,0.788,0.513,0.6638478,-6.150511,0.0973401,ENSG00000231268,AGER
177,177_at,0.788,0.513,0.6638478,-6.150511,0.0973401,ENSG00000229058,AGER
178,178_at,0.648,0.32,1.0147898,-5.86153,0.2183638,ENSG00000162688,AGL
181,181_at,0.932,0.804,-0.2504497,-6.339783,-0.0442107,ENSG00000159723,AGRP
182,182_at,0.614,0.283,-1.0990822,-5.775522,-0.4062814,ENSG00000101384,JAG1
183,183_at,0.206,0.0365,2.2171762,-4.117249,0.7254895,ENSG00000135744,AGT
185,185_at,0.358,0.097,1.7280929,-4.95044,0.4087158,ENSG00000144891,AGTR1
186,186_at,0.56,0.232,1.225924,-5.634561,0.2480316,ENSG00000180772,AGTR2
